brand,product_name,original_price,discounted_price,rating,product_url,breadcrumbs,category
Maybelline,Liquid Lipstick - Nude Nuance,Rs. 429,Rs. 227,|91.2k,https://www.myntra.comlipstick/maybelline/maybelline-new-york-sensational-liquid-matte-lipstick---21-nude-nuance---7ml/14940628/buy,Home / Personal Care / Lipstick,Lipstick
Pilgrim,Dubai Bling Lipstick- 05,Rs. 645,Rs. 516,|9.1k,https://www.myntra.comlipstick/pilgrim/pilgrim-dubai-bling-3d-glitter-formula-with-matte-finish-lipstick--42-g--royal-noor-05/31826190/buy,Home / Personal Care / Lipstick,Lipstick
Baked Beauty,11-Pcs Liquid Matte Lipstick,Rs. 1950,Rs. 536,|568,https://www.myntra.comlipstick/baked+beauty/baked-beauty-set-of-11-liquid-matte-lipstick-with-vitamin-e---15-ml-each/30603481/buy,Home / Personal Care / Lipstick,Lipstick
MARS,Set of 3 Matte Lipsticks Box,Rs. 447,Rs. 339,|33.4k,https://www.myntra.comlipstick/mars/mars-set-of-3-matte-lipsticks-box---peaches-and-nudes-02/17723132/buy,Home / Personal Care / Lipstick,Lipstick
Bella Vita Organic,Creamy Matte Lipstick - 10,Rs. 375,Rs. 149,|3.7k,https://www.myntra.comlipstick/bella+vita+organic/bella-vita-organic-creamy-matte-bullet-lipstick---42-g---scarlet-red-10-/31067462/buy,Home / Personal Care / Lipstick,Lipstick
Lakme,Powerplay Priming Lipstick,Rs. 650,Rs. 253,|247.5k,https://www.myntra.comlipstick/lakme/lakme-9to5-powerplay-priming-matte-lipstick-with-vit-e-lasts-16hr-36g---roseatte-red/13105576/buy,Home / Personal Care / Lipstick,Lipstick
MARS,Brown Lip Crayon,Rs. 279,Rs. 253,|21.4k,https://www.myntra.comlipstick/mars/mars-brown-smudge-wont-budge-lip-crayon/15792264/buy,Home / Personal Care / Lipstick,Lipstick
Maybelline,Liquid Lipstick - Charmer,Rs. 749,Rs. 404,|12.5k,https://www.myntra.comlipstick/maybelline/maybelline-new-york-superstay-matte-ink-matte-liquid-lipstick-5ml---charmer/36086449/buy,Home / Personal Care / Lipstick,Lipstick
Renee,Very Matte Lipstick - 1.6 g-03,Rs. 199,Rs. 175,|1.8k,https://www.myntra.comlipstick/renee/renee-very-matte-intense-color-weightless--long-lasting-lipstick---toffee-touch/33601117/buy,Home / Personal Care / Lipstick,Lipstick
MARS,Matte Muse Mousse Lipstick,Rs. 299,Rs. 275,|29.8k,https://www.myntra.comlipstick/mars/mars-matte-muse-lightweight-mousse-lipstick-3ml---queen/32051445/buy,Home / Personal Care / Lipstick,Lipstick
Pilgrim,Matte Bullet Lipstick - 04,Rs. 595,Rs. 476,|12.4k,https://www.myntra.comlipstick/pilgrim/pilgrim-matte-bullet-intense-colour-transferproof--smudgeproof-lipstick---mocha-bliss-04/30593158/buy,Home / Personal Care / Lipstick,Lipstick
Pilgrim,Dubai Bling Lipstick- 08,Rs. 645,Rs. 516,|9.1k,https://www.myntra.comlipstick/pilgrim/pilgrim-dubai-bling-3d-glitter-formula-with-matte-finish-lipstick--42-g--her-highness-08/31826198/buy,Home / Personal Care / Lipstick,Lipstick
Lakme,Cushion Matte Lipstick,Rs. 375,Rs. 168,|28.5k,https://www.myntra.comlipstick/lakme/lakme-cushion-matte-long-lasting-lipstick-with-french-rose-oil-ext-45g----red-bomb-shell/24822094/buy,Home / Personal Care / Lipstick,Lipstick
EBONY LONDON,Pop Matte Lip Color - 5 ml -07,N/A,N/A,N/A,https://www.myntra.comlipstick/ebony+london/ebony-london-pop-matte-waterproof-liquid-lip-color---5-ml---shade-07/41124346/buy,Home / Personal Care / Lipstick,Lipstick
Pilgrim,Lipstick 4.2g Maroon Affair 23,Rs. 595,Rs. 476,|12.4k,https://www.myntra.comlipstick/pilgrim/pilgrim-matte-bullet-intense-colour-transferproof-lipstick--42-g-maroon-affair-23/30593163/buy,Home / Personal Care / Lipstick,Lipstick
MARS,Love Track Velvet Lip Tint,Rs. 299,Rs. 275,|26.3k,https://www.myntra.comlipstick/mars/mars-love-track-velvet-lip-tint---28-ml---four-letters/32048838/buy,Home / Personal Care / Lipstick,Lipstick
MARS,Love Track Velvet Lip Tint,Rs. 299,Rs. 275,|26.3k,https://www.myntra.comlipstick/mars/mars-love-track-velvet-lip-tint---28-ml---three-words/32048835/buy,Home / Personal Care / Lipstick,Lipstick
